02-07-2026 10:30:40 INFO  TestListeners:32 - Starting Logger for Listeners
02-07-2026 10:30:41 INFO  TestListeners:42 - Starting Test: TransactionHistoryApiTest.getAllTransactionsAsAdmin()[pri:0, instance:api.TransactionHistoryApiTest@6e1ae763]
02-07-2026 10:30:41 INFO  TestListeners:42 - Starting Test: LoginApiTest.adminLogin()[pri:0, instance:api.LoginApiTest@47f08b81]
02-07-2026 10:30:41 INFO  TestListeners:42 - Starting Test: DepositMoneyApiTest.testStatusCode()[pri:0, instance:api.DepositMoneyApiTest@56c9bbd8]
02-07-2026 10:30:41 INFO  TestListeners:49 - LoginApiTest.adminLogin()[pri:0, instance:api.LoginApiTest@47f08b81] Successful
02-07-2026 10:30:41 INFO  TestListeners:42 - Starting Test: AccountsApiTest.verifyAccountNumber()[pri:0, instance:api.AccountsApiTest@5827af16]
02-07-2026 10:30:41 INFO  TestListeners:49 - AccountsApiTest.verifyAccountNumber()[pri:0, instance:api.AccountsApiTest@5827af16] Successful
02-07-2026 10:30:41 INFO  TestListeners:42 - Starting Test: AccountsApiTest.verifyAccountStatus()[pri:0, instance:api.AccountsApiTest@5827af16]
02-07-2026 10:30:41 INFO  TestListeners:49 - AccountsApiTest.verifyAccountStatus()[pri:0, instance:api.AccountsApiTest@5827af16] Successful
02-07-2026 10:30:41 INFO  TestListeners:42 - Starting Test: AccountsApiTest.verifyAccountType()[pri:0, instance:api.AccountsApiTest@5827af16]
02-07-2026 10:30:41 INFO  TestListeners:49 - AccountsApiTest.verifyAccountType()[pri:0, instance:api.AccountsApiTest@5827af16] Successful
02-07-2026 10:30:41 INFO  TestListeners:42 - Starting Test: LoginApiTest.login(api.payloads.LoginRequestPayload)[pri:0, instance:api.LoginApiTest@47f08b81]
02-07-2026 10:30:41 INFO  TestListeners:49 - DepositMoneyApiTest.testStatusCode()[pri:0, instance:api.DepositMoneyApiTest@56c9bbd8] Successful
02-07-2026 10:30:42 INFO  TestListeners:42 - Starting Test: AbstractTestNGCucumberTests.runScenario(io.cucumber.testng.PickleWrapper,io.cucumber.testng.FeatureWrapper)[pri:0, instance:runners.TestRunners@5316e95f]
02-07-2026 10:30:42 INFO  TestListeners:49 - LoginApiTest.login(api.payloads.LoginRequestPayload)[pri:0, instance:api.LoginApiTest@47f08b81] Successful
02-07-2026 10:30:42 INFO  TestListeners:42 - Starting Test: LoginApiTest.login(api.payloads.LoginRequestPayload)[pri:0, instance:api.LoginApiTest@47f08b81]
02-07-2026 10:30:42 INFO  TestListeners:49 - TransactionHistoryApiTest.getAllTransactionsAsAdmin()[pri:0, instance:api.TransactionHistoryApiTest@6e1ae763] Successful
02-07-2026 10:30:42 INFO  TestListeners:42 - Starting Test: TransactionHistoryApiTest.getTransactionHistory()[pri:0, instance:api.TransactionHistoryApiTest@6e1ae763]
02-07-2026 10:30:42 INFO  TestListeners:49 - LoginApiTest.login(api.payloads.LoginRequestPayload)[pri:0, instance:api.LoginApiTest@47f08b81] Successful
02-07-2026 10:30:42 INFO  TestListeners:42 - Starting Test: LoginApiTest.login(api.payloads.LoginRequestPayload)[pri:0, instance:api.LoginApiTest@47f08b81]
02-07-2026 10:30:42 INFO  TestListeners:49 - TransactionHistoryApiTest.getTransactionHistory()[pri:0, instance:api.TransactionHistoryApiTest@6e1ae763] Successful
02-07-2026 10:30:42 INFO  TestListeners:49 - LoginApiTest.login(api.payloads.LoginRequestPayload)[pri:0, instance:api.LoginApiTest@47f08b81] Successful
02-07-2026 10:30:43 INFO  TestListeners:81 - Ending Listener
02-07-2026 10:30:57 INFO  TestListeners:42 - Starting Test: DepositMoneyTest.navigateToTransactionsPage()[pri:1, instance:ui.DepositMoneyTest@56c698e3]
02-07-2026 10:30:57 INFO  TestListeners:42 - Starting Test: AdminLoginTest.adminLogin()[pri:0, instance:ui.AdminLoginTest@340b9973]
02-07-2026 10:30:57 INFO  TestListeners:42 - Starting Test: HomePageTest.isHomePageVisible()[pri:1, instance:ui.HomePageTest@14d14731]
02-07-2026 10:30:57 INFO  TestListeners:42 - Starting Test: CreateAccountTest.navigateToAccountsPage()[pri:1, instance:ui.CreateAccountTest@3f390d63]
02-07-2026 10:30:57 INFO  TestListeners:42 - Starting Test: WithdrawMoneyTest.navigateToTransactionsPage()[pri:1, instance:ui.WithdrawMoneyTest@18cebaa5]
02-07-2026 10:30:57 INFO  TestListeners:42 - Starting Test: SignUpPageTest.isSignUpPageVisible()[pri:1, instance:ui.SignUpPageTest@25bc0606]
02-07-2026 10:30:57 INFO  TestListeners:42 - Starting Test: LoginPageTest.loginWithValidDetails(java.lang.String,java.lang.String)[pri:1, instance:ui.LoginPageTest@85e6769]
02-07-2026 10:30:57 INFO  TestListeners:49 - HomePageTest.isHomePageVisible()[pri:1, instance:ui.HomePageTest@14d14731] Successful
02-07-2026 10:30:58 INFO  LoginPageTest:26 - Login With Valid Details
02-07-2026 10:30:59 INFO  TestListeners:49 - SignUpPageTest.isSignUpPageVisible()[pri:1, instance:ui.SignUpPageTest@25bc0606] Successful
02-07-2026 10:30:59 INFO  TestListeners:42 - Starting Test: SignUpPageTest.signUpWithValidDetails()[pri:2, instance:ui.SignUpPageTest@25bc0606]
02-07-2026 10:31:02 INFO  TestListeners:49 - AdminLoginTest.adminLogin()[pri:0, instance:ui.AdminLoginTest@340b9973] Successful
02-07-2026 10:31:02 INFO  TestListeners:49 - WithdrawMoneyTest.navigateToTransactionsPage()[pri:1, instance:ui.WithdrawMoneyTest@18cebaa5] Successful
02-07-2026 10:31:02 INFO  TestListeners:42 - Starting Test: WithdrawMoneyTest.withdrawMoney()[pri:2, instance:ui.WithdrawMoneyTest@18cebaa5]
02-07-2026 10:31:02 INFO  LoginPageTest:30 - Ending Valid login
02-07-2026 10:31:03 INFO  TestListeners:49 - DepositMoneyTest.navigateToTransactionsPage()[pri:1, instance:ui.DepositMoneyTest@56c698e3] Successful
02-07-2026 10:31:03 INFO  TestListeners:42 - Starting Test: DepositMoneyTest.depositMoney()[pri:2, instance:ui.DepositMoneyTest@56c698e3]
02-07-2026 10:31:03 INFO  TestListeners:49 - LoginPageTest.loginWithValidDetails(java.lang.String,java.lang.String)[pri:1, instance:ui.LoginPageTest@85e6769] Successful
02-07-2026 10:31:03 INFO  TestListeners:42 - Starting Test: LoginPageTest.loginWithValidDetails(java.lang.String,java.lang.String)[pri:1, instance:ui.LoginPageTest@85e6769]
02-07-2026 10:31:03 INFO  LoginPageTest:26 - Login With Valid Details
02-07-2026 10:31:05 INFO  TestListeners:49 - SignUpPageTest.signUpWithValidDetails()[pri:2, instance:ui.SignUpPageTest@25bc0606] Successful
02-07-2026 10:31:05 INFO  TestListeners:42 - Starting Test: SignUpPageTest.signUpWithExistingEmail()[pri:3, instance:ui.SignUpPageTest@25bc0606]
02-07-2026 10:31:05 INFO  TestListeners:49 - WithdrawMoneyTest.withdrawMoney()[pri:2, instance:ui.WithdrawMoneyTest@18cebaa5] Successful
02-07-2026 10:31:05 INFO  TestListeners:42 - Starting Test: WithdrawMoneyTest.withdrawMoneyFromDeactivatedAccount()[pri:3, instance:ui.WithdrawMoneyTest@18cebaa5]
02-07-2026 10:31:05 INFO  TestListeners:49 - DepositMoneyTest.depositMoney()[pri:2, instance:ui.DepositMoneyTest@56c698e3] Successful
02-07-2026 10:31:05 INFO  TestListeners:42 - Starting Test: DepositMoneyTest.depositMoneyIntoDeactivatedAccount()[pri:3, instance:ui.DepositMoneyTest@56c698e3]
02-07-2026 10:31:05 INFO  LoginPageTest:30 - Ending Valid login
02-07-2026 10:31:06 INFO  TestListeners:49 - LoginPageTest.loginWithValidDetails(java.lang.String,java.lang.String)[pri:1, instance:ui.LoginPageTest@85e6769] Successful
02-07-2026 10:31:06 INFO  TestListeners:42 - Starting Test: LoginPageTest.loginWithValidDetails(java.lang.String,java.lang.String)[pri:1, instance:ui.LoginPageTest@85e6769]
02-07-2026 10:31:06 INFO  LoginPageTest:26 - Login With Valid Details
02-07-2026 10:31:07 INFO  TestListeners:49 - CreateAccountTest.navigateToAccountsPage()[pri:1, instance:ui.CreateAccountTest@3f390d63] Successful
02-07-2026 10:31:07 INFO  TestListeners:42 - Starting Test: CreateAccountTest.createAccountViaSignUp()[pri:2, instance:ui.CreateAccountTest@3f390d63]
02-07-2026 10:31:08 INFO  TestListeners:49 - SignUpPageTest.signUpWithExistingEmail()[pri:3, instance:ui.SignUpPageTest@25bc0606] Successful
02-07-2026 10:31:08 INFO  TestListeners:49 - CreateAccountTest.createAccountViaSignUp()[pri:2, instance:ui.CreateAccountTest@3f390d63] Successful
02-07-2026 10:31:09 INFO  LoginPageTest:30 - Ending Valid login
02-07-2026 10:31:10 INFO  TestListeners:49 - LoginPageTest.loginWithValidDetails(java.lang.String,java.lang.String)[pri:1, instance:ui.LoginPageTest@85e6769] Successful
